,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
61,BU04390506,4390506,Golfterrein en verspreide bebouwing,Purmerend,Buurt,BU04390506,1,430,205,230,80,65,135,100,55,275,135,10,5,160,235,30,160,15,10,225,20,,,,,220,110,35,75,"1,9",285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,80,35,"0,5",78.0,15,,,,,,162,151,11,1445,2,3,1187,False,False
62,BU04390601,4390601,Purmer-Zuid/Noord,Purmerend,Buurt,BU04390601,1,5145,2470,2675,715,515,1085,1610,1215,2065,2415,420,245,3835,360,945,3835,200,450,160,500,,,,,2255,630,790,840,"2,3",6346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555,2060,495,"1,1",3152.0,240,,,,,,87,81,6,1447,1,2,2234,False,False
63,BU04390602,4390602,Purmer-Zuid/Zuid,Purmerend,Buurt,BU04390602,1,6980,3445,3535,980,745,1495,2310,1445,2965,3165,490,360,5285,510,1185,5285,265,610,240,580,,,,,2910,715,960,1240,"2,4",6607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3415,2755,655,"1,2",3229.0,365,,,,,,112,106,7,1447,1,2,1714,False,False
64,BU04390603,4390603,Purmerbos en verspreide bebouwing,Purmerend,Buurt,BU04390603,1,100,50,55,20,10,15,30,20,45,50,0,5,80,5,20,80,5,10,0,5,,,,,35,10,10,20,"2,8",26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,25,15,,,5,,,,,,389,384,5,1447,1,4,559,False,False
65,BU04390701,4390701,Hazepolder,Purmerend,Buurt,BU04390701,1,410,185,220,50,35,100,120,95,195,150,45,20,325,45,40,325,25,15,25,25,,,,,200,65,70,65,2,5236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,165,35,1,2567.0,25,,,,,,9,8,2,1441,1,2,2258,True,True
66,BU04390702,4390702,Azië,Purmerend,Buurt,BU04390702,1,3980,1950,2030,545,590,760,1420,660,1815,1705,305,155,2715,260,1010,2715,125,465,130,540,,,,,1640,420,470,750,"2,4",7700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835,1475,355,"1,1",3547.0,145,,,,,,55,52,4,1448,1,2,2220,False,True
67,BU04390703,4390703,Amerika,Purmerend,Buurt,BU04390703,1,4540,2265,2275,710,670,1005,1505,650,2230,1825,340,140,2815,295,1430,2815,135,695,160,735,,,,,1795,440,485,865,"2,5",5070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,1620,430,"1,1",2288.0,150,,,,,,104,90,14,1448,1,2,1594,False,True
68,BU04390704,4390704,Afrika,Purmerend,Buurt,BU04390704,1,5410,2665,2745,825,825,1110,1805,845,2685,2205,295,220,3575,370,1460,3575,200,700,170,755,,,,,2135,625,525,990,"2,5",6144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,1825,525,"1,1",2668.0,160,,,,,,108,88,20,1448,1,2,1680,False,True
69,BU04390705,4390705,Europa,Purmerend,Buurt,BU04390705,1,5375,2670,2705,910,565,1640,1335,925,2815,1990,360,215,3515,325,1540,3515,160,855,165,685,,,,,2440,900,695,850,"2,2",6311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,1805,495,"0,9",2697.0,155,,,,,,87,85,1,1448,1,1,2578,True,True
70,BU04390801,4390801,Middenbeemster,Purmerend,Buurt,BU04390801,1,5740,2845,2900,1015,550,1485,1565,1130,2920,2190,375,260,4810,370,565,4810,150,275,215,285,,,,,2350,690,700,960,"2,4",275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2300,600,"1,2",139.0,305,,,,,,2118,2089,29,1462,1,4,556,False,False
71,BU04390802,4390802,Noordbeemster,Purmerend,Buurt,BU04390802,1,625,305,320,90,80,105,225,125,290,255,40,35,570,25,25,570,15,10,10,10,,,,,240,55,90,100,"2,6",35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,305,105,"1,7",23.0,55,,,,,,1845,1802,43,1463,1,5,41,False,False
72,BU04390803,4390803,Westbeemster,Purmerend,Buurt,BU04390803,1,775,395,380,125,85,150,255,160,385,315,45,35,710,35,35,710,20,20,15,10,,,,,310,75,115,125,"2,5",42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,325,125,"1,4",24.0,65,,,,,,1893,1850,44,1464,1,5,58,False,False
73,BU04390804,4390804,Zuidoostbeemster,Purmerend,Buurt,BU04390804,1,4485,2215,2270,915,430,1080,1205,845,2160,1895,260,160,3915,180,390,3915,120,210,60,175,,,,,1760,410,560,785,"2,5",340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,1705,590,"1,3",174.0,245,,,,,,1351,1317,34,1461,1,3,1354,False,False
74,BU08520000,8520000,Monnickendam,Waterland,Buurt,BU08520000,1,2025,975,1050,255,225,405,680,460,975,805,140,105,1580,305,145,1575,90,80,215,60,,,,,1010,430,295,285,2,2360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,805,215,1,1188.0,90,,,,,,91,86,5,1141,1,4,895,True,False
75,BU08520001,8520001,Oranjewijk,Waterland,Buurt,BU08520001,1,985,485,505,200,115,265,245,160,530,345,65,40,775,50,165,775,25,60,25,105,,,,,405,115,100,190,"2,5",7976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,295,65,"0,9",2917.0,40,,,,,,13,12,1,1141,1,3,1202,False,False
76,BU08520002,8520002,Markgouw,Waterland,Buurt,BU08520002,1,2355,1080,1280,365,220,445,525,800,1025,870,205,255,1770,270,315,1770,75,110,195,205,,,,,1090,430,310,355,"2,1",5351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,775,145,"0,8",2085.0,70,,,,,,47,44,3,1141,1,3,1144,False,False
77,BU08520003,8520003,Ringshemmen,Waterland,Buurt,BU08520003,1,1605,775,830,220,180,305,455,445,660,730,110,95,1325,100,180,1320,55,90,50,85,,,,,690,180,245,260,"2,3",5393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,600,155,"1,1",2547.0,60,,,,,,33,30,4,1141,1,4,967,False,False
78,BU08520004,8520004,Ooster Ee,Waterland,Buurt,BU08520004,1,890,450,440,130,90,155,240,275,385,405,60,40,735,55,100,735,30,50,20,45,,,,,415,135,150,130,"2,2",6832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,335,90,1,3274.0,50,,,,,,14,13,1,1141,1,3,1141,False,False
79,BU08520005,8520005,t Spil,Waterland,Buurt,BU08520005,1,245,115,135,20,15,60,60,100,100,110,15,25,230,0,15,225,5,15,0,10,,,,,150,75,50,25,"1,7",4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,95,15,"0,8",2014.0,5,,,,,,6,6,1,1141,1,3,1230,False,False
80,BU08520006,8520006,Binnengouw,Waterland,Buurt,BU08520006,1,640,330,310,105,65,125,170,180,270,330,20,15,565,25,50,565,10,30,15,20,,,,,250,30,110,105,"2,6",4087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,225,60,"1,1",1814.0,25,,,,,,17,16,1,1141,1,3,1037,False,False
81,BU08520007,8520007,Buitengouw,Waterland,Buurt,BU08520007,1,755,390,375,125,85,135,235,185,305,390,35,25,670,45,50,665,25,30,20,20,,,,,300,45,115,135,"2,5",6288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,290,95,"1,3",3177.0,35,,,,,,13,12,1,1141,1,4,733,False,False
82,BU08520009,8520009,Verspreide huizen,Waterland,Buurt,BU08520009,1,260,135,125,35,25,55,85,55,115,115,20,5,220,20,15,220,5,10,15,0,,,,,110,35,35,40,"2,3",38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,115,40,"1,4",23.0,40,,,,,,718,683,34,1141,1,5,89,False,False
83,BU08520010,8520010,De Purmer (gedeeltelijk),Waterland,Buurt,BU08520010,1,140,75,60,15,20,20,45,40,70,60,10,0,125,5,5,125,5,5,0,5,,,,,50,15,20,20,"2,6",25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,60,30,"1,7",17.0,10,,,,,,570,561,8,1482,1,5,20,False,False
84,BU08520100,8520100,Katwoude,Waterland,Buurt,BU08520100,1,325,165,165,60,45,55,95,75,150,150,20,10,270,20,35,275,5,25,10,10,,,,,110,20,40,50,"2,9",49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,130,65,"1,8",29.0,20,,,,,,703,671,32,1145,1,5,152,False,False
85,BU08520200,8520200,Havenbuurt en Kerkbuurt,Waterland,Buurt,BU08520200,1,1635,805,830,180,185,320,475,470,640,780,110,100,1510,50,75,1505,20,35,25,45,,,,,795,310,250,230,"2,1",1067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,625,150,1,508.0,55,,,,,,154,153,1,1156,1,5,309,False,False
86,BU08520201,8520201,Verspreide huizen Op de Werven ten zuiden van kanaal,Waterland,Buurt,BU08520201,1,95,50,50,10,5,10,40,35,35,45,5,10,90,0,5,85,0,5,5,0,,,,,50,25,20,10,"1,8",85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,45,15,"1,1",52.0,5,,,,,,112,112,0,1156,1,5,278,False,False
87,BU08520300,8520300,Broek in Waterland,Waterland,Buurt,BU08520300,1,2760,1350,1410,495,305,470,850,650,1370,1070,200,125,2290,205,270,2295,115,160,85,110,,,,,1190,390,325,475,"2,3",272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,985,340,"1,1",130.0,115,,,,,,1070,1017,53,1151,1,5,301,False,False
88,BU08520301,8520301,Zuiderwoude,Waterland,Buurt,BU08520301,1,305,150,155,50,35,40,115,70,135,145,15,10,250,20,35,255,10,20,15,15,,,,,125,30,50,50,"2,4",55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,125,50,"1,4",31.0,25,,,,,,660,561,99,1153,1,5,52,False,False
89,BU08520302,8520302,Uitdam,Waterland,Buurt,BU08520302,1,125,60,70,20,5,10,40,45,50,55,10,5,100,15,10,100,5,10,10,5,,,,,60,20,20,15,"2,1",40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,45,30,"1,3",24.0,5,,,,,,370,313,57,1154,1,5,57,False,False
90,BU08520400,8520400,Ilpendam,Waterland,Buurt,BU08520400,1,1755,870,885,290,155,390,505,420,795,765,105,90,1460,110,185,1460,55,95,55,95,,,,,775,220,270,285,"2,3",780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,635,215,"1,1",377.0,105,,,,,,247,225,22,1452,1,5,248,False,False
91,BU08520401,8520401,De Purmer (gedeeltelijk),Waterland,Buurt,BU08520401,1,55,35,25,15,0,10,20,10,30,20,0,10,55,0,5,55,0,0,0,0,,,,,20,10,10,10,"2,5",22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,20,15,,,5,,,,,,278,269,9,1452,1,5,90,False,False
92,BU08520500,8520500,Watergang,Waterland,Buurt,BU08520500,1,555,285,275,110,50,120,160,110,305,200,35,25,455,35,65,455,20,35,20,35,,,,,240,80,70,95,"2,3",134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,230,100,"1,4",80.0,30,,,,,,465,415,50,1454,1,5,67,False,False
93,BU08800000,8800000,Oosteinde,Wormerland,Buurt,BU08800000,1,1085,555,530,115,135,165,400,270,440,545,50,55,985,35,65,990,20,45,15,20,,,,,450,105,180,170,"2,4",259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,465,125,"1,3",141.0,85,,,,,,543,421,123,1531,1,5,496,False,False
94,BU08800001,8800001,Westeinde,Wormerland,Buurt,BU08800001,1,3755,1880,1875,510,440,725,1245,835,1645,1675,270,160,3170,245,335,3170,105,200,140,130,,,,,1655,500,540,610,"2,3",3327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1565,390,"1,2",1733.0,205,,,,,,131,113,18,1531,1,2,2147,False,True
95,BU08800002,8800002,Oost-Knollendam,Wormerland,Buurt,BU08800002,1,625,310,310,60,65,115,220,160,260,295,45,25,515,70,35,515,10,15,60,20,,,,,285,90,110,85,"2,2",169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,310,80,"1,4",107.0,40,,,,,,593,367,226,1534,3,5,387,False,False
96,BU08800003,8800003,Molenbuurt,Wormerland,Buurt,BU08800003,1,3510,1650,1865,575,390,765,810,970,1665,1210,300,330,2780,170,560,2780,95,260,80,305,,,,,1625,670,385,570,"2,1",6232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1220,210,"0,9",2542.0,160,,,,,,60,56,4,1531,1,2,1848,False,True
97,BU08800004,8800004,Plaszoom,Wormerland,Buurt,BU08800004,1,3980,1995,1985,620,500,955,1025,880,1875,1610,285,215,3085,245,650,3090,125,280,120,365,,,,,1770,605,515,655,"2,2",6033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1535,320,1,2810.0,195,,,,,,92,66,27,1531,1,2,1965,False,True
98,BU08800005,8800005,Middentil,Wormerland,Buurt,BU08800005,1,715,385,335,85,65,155,205,205,305,315,45,50,640,25,55,640,20,25,10,30,,,,,345,125,120,100,"2,1",7935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,320,50,"1,1",4101.0,30,,,,,,9,9,0,1531,1,3,1412,False,False
99,BU08800009,8800009,Verspreide huizen in de polder Engewormer,Wormerland,Buurt,BU08800009,1,75,45,30,10,15,10,30,10,35,40,5,0,70,5,5,75,5,0,0,5,,,,,25,5,5,15,"2,9",46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,10,,,25,,,,,,178,171,7,1531,1,5,399,False,False
100,BU08800100,8800100,Neck (gedeeltelijk),Wormerland,Buurt,BU08800100,1,1145,550,600,200,115,280,345,205,510,515,75,50,960,55,125,960,35,80,20,45,,,,,470,115,155,200,"2,4",2153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,490,120,"1,3",1142.0,95,,,,,,54,53,1,1456,1,5,216,False,False
101,BU08800108,8800108,Verspreide huizen ten zuiden van De Middentocht,Wormerland,Buurt,BU08800108,1,320,170,155,30,35,50,120,85,140,135,35,15,285,10,25,290,10,10,5,10,,,,,145,50,50,45,"2,1",42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,155,40,"1,3",25.0,20,,,,,,789,775,15,1456,1,5,148,False,False
102,BU08800109,8800109,Verspreide huizen ten noorden van De Middentocht,Wormerland,Buurt,BU08800109,1,260,130,130,30,40,40,105,45,125,95,20,15,240,10,10,240,5,5,5,5,,,,,105,35,35,45,"2,5",33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,145,50,"1,8",25.0,20,,,,,,826,789,36,1456,1,5,41,False,False
103,BU08800200,8800200,Jisp,Wormerland,Buurt,BU08800200,1,435,205,225,50,55,55,155,110,185,175,45,25,395,25,15,400,10,5,10,5,,,,,195,65,70,60,"2,2",342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,215,65,"1,4",223.0,35,,,,,,191,126,65,1546,1,5,144,False,False
104,BU08800201,8800201,Uitbreiding-Jisp,Wormerland,Buurt,BU08800201,1,250,125,130,25,30,40,85,70,105,120,15,15,235,5,10,240,0,10,0,5,,,,,110,30,40,40,"2,3",714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,130,25,"1,4",442.0,25,,,,,,46,35,11,1546,1,5,151,False,False
105,BU08800208,8800208,Spijkerboor,Wormerland,Buurt,BU08800208,1,25,15,10,5,0,10,5,10,10,10,5,0,25,0,0,25,0,0,0,0,,,,,10,5,10,5,2,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,5,,,10,,,,,,57,54,3,1458,1,5,20,False,False
106,BU08800209,8800209,Verspreide huizen Kanaal- en Oudelandsdijk,Wormerland,Buurt,BU08800209,1,370,185,180,40,50,60,140,85,160,175,20,10,330,20,25,330,5,15,10,10,,,,,155,45,50,55,"2,4",45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,160,55,"1,4",26.0,55,,,,,,946,816,130,1456,3,5,242,False,False
107,BU04791111,4791111,Vijfhoekpark,Zaanstad,Buurt,BU04791111,3,50,25,20,0,5,5,25,10,15,20,5,0,45,5,0,45,0,0,0,0,,,,,25,5,5,5,2,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,55,45,,,5,,,,,,66,59,7,1505,2,2,1576,False,True
108,BU04791112,4791112,Achtersluispolder,Zaanstad,Buurt,BU04791112,3,465,370,90,5,90,275,90,5,350,100,10,0,25,240,195,20,0,0,240,200,,,,,240,230,5,0,"1,1",461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,135,105,1,237.0,10,,,,,,145,100,45,1505,1,5,492,False,False
109,BU04791121,4791121,Bomenbuurt Oost,Zaanstad,Buurt,BU04791121,3,2580,1260,1325,555,315,690,605,415,1455,750,295,80,945,235,1400,950,75,665,165,735,,,,,1145,470,200,480,"2,2",10599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,745,135,"0,8",3615.0,80,,,,,,26,24,2,1505,1,1,2683,False,True
110,BU04791122,4791122,Bomenbuurt,Zaanstad,Buurt,BU04791122,3,3975,2020,1955,765,440,1265,1065,440,2220,1315,350,90,1675,555,1740,1675,155,835,400,905,,,,,1765,640,415,710,"2,3",12670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,1230,280,"0,9",4806.0,125,,,,,,35,31,3,1505,1,2,2421,False,True
111,BU04791131,4791131,Burgemeestersbuurt,Zaanstad,Buurt,BU04791131,3,3800,1875,1930,670,395,1120,995,625,2060,1270,320,150,2225,535,1040,2225,155,525,380,515,,,,,1770,690,435,645,"2,1",11145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355,1150,205,"0,8",3971.0,95,,,,,,36,34,1,1501,1,1,3800,False,True
112,BU04791132,4791132,Prins Hendrikbuurt,Zaanstad,Buurt,BU04791132,3,2925,1425,1495,430,300,955,725,520,1690,755,290,195,1705,570,655,1705,175,305,390,345,,,,,1475,690,365,420,"1,9",9335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,845,165,"0,7",3222.0,135,,,,,,36,31,4,1501,2,1,3864,False,True
113,BU04791211,4791211,Vennenbuurt,Zaanstad,Buurt,BU04791211,3,1625,800,825,285,135,420,380,405,720,635,135,130,835,180,610,830,75,335,110,280,,,,,710,295,175,240,"2,2",6723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,520,160,1,2809.0,30,,,,,,26,24,2,1504,1,1,3268,False,True
114,BU04791212,4791212,Poelenburg Noord,Zaanstad,Buurt,BU04791212,3,3030,1450,1585,660,435,900,740,295,1720,965,255,90,500,425,2105,500,95,1030,325,1080,,,,,1190,375,205,610,"2,5",8890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,805,210,"0,8",2965.0,40,,,,,,38,34,4,1504,2,2,2111,False,True
115,BU04791213,4791213,Poelenburg Zuid,Zaanstad,Buurt,BU04791213,3,4010,1960,2050,795,585,1230,1010,390,2285,1265,335,120,710,595,2700,710,120,1325,480,1370,,,,,1700,655,280,765,"2,4",9036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1120,250,"0,8",3095.0,55,,,,,,50,44,6,1504,1,2,1778,False,True
116,BU04791311,4791311,Peldersveld West,Zaanstad,Buurt,BU04791311,3,2605,1295,1310,485,320,675,625,500,1280,995,185,140,920,380,1305,915,100,720,280,585,,,,,1065,375,245,445,"2,4",6626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,845,215,1,2696.0,65,,,,,,42,39,3,1503,1,2,2478,False,True
117,BU04791312,4791312,Peldersveld Oost,Zaanstad,Buurt,BU04791312,3,3250,1495,1760,635,420,970,855,370,1810,930,410,100,655,395,2205,650,95,1080,295,1130,,,,,1425,550,235,630,"2,3",12909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,875,185,"0,7",4211.0,45,,,,,,29,25,4,1503,1,2,2040,False,True
118,BU04791321,4791321,Hoornseveld,Zaanstad,Buurt,BU04791321,3,3545,1735,1810,490,305,750,810,1190,1440,1440,360,300,2290,290,970,2285,120,500,170,470,,,,,1640,700,470,465,"2,1",6037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,1215,270,"0,9",2529.0,130,,,,,,63,59,4,1503,1,1,2716,False,True
119,BU04791322,4791322,Kleurenbuurt,Zaanstad,Buurt,BU04791322,3,1875,840,1035,420,210,515,465,265,1030,540,230,70,480,150,1250,485,45,520,100,725,,,,,825,355,125,345,"2,2",9289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,440,100,"0,7",2679.0,35,,,,,,21,20,1,1503,2,1,3914,False,True
120,BU04791411,4791411,Rosmolenbuurt Oost,Zaanstad,Buurt,BU04791411,3,2560,1240,1325,450,210,770,565,565,1290,830,250,190,1275,235,1060,1270,90,560,140,500,,,,,1255,620,255,375,2,6366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,720,175,"0,7",2223.0,55,,,,,,44,40,4,1502,1,1,3957,True,True
121,BU04791412,4791412,Rosmolenbuurt West,Zaanstad,Buurt,BU04791412,3,5985,2990,2995,865,580,1785,1565,1200,3115,1985,610,280,3130,765,2085,3135,250,1000,515,1085,,,,,3085,1375,815,890,"1,9",11483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,1945,405,"0,8",4510.0,220,,,,,,58,52,6,1502,1,1,3726,False,True
