,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
154,BU04795132,4795132,Wormerveer Noord,Zaanstad,Buurt,BU04795132,3,3075,1445,1630,595,330,875,650,620,1740,840,355,140,1870,205,1000,1870,105,540,100,460,,,,,1530,700,315,515,2,9015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,1000,140,"0,7",3346.0,95,,,,,,40,34,6,1521,1,2,2142,False,True
155,BU04795133,4795133,Wormerveer West,Zaanstad,Buurt,BU04795133,3,1450,655,800,145,125,345,355,480,645,455,170,180,1060,150,240,1055,50,115,105,120,,,,,825,455,200,175,"1,7",3571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,550,80,"0,8",1554.0,50,,,,,,47,41,6,1521,1,2,2214,False,True
156,BU04795140,4795140,Karnemelksepolder,Zaanstad,Buurt,BU04795140,3,385,205,175,70,60,105,130,15,200,160,20,0,295,40,50,295,15,40,30,10,,,,,140,20,35,80,"2,8",528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,290,190,,,35,,,,,,89,73,16,1521,1,3,1201,False,True
157,BU04795150,4795150,Westknollendam,Zaanstad,Buurt,BU04795150,3,445,230,225,65,50,95,155,85,210,190,35,15,365,35,45,365,20,25,15,20,,,,,195,50,70,75,"2,3",1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,210,55,"1,4",1149.0,45,,,,,,34,23,11,1525,1,5,370,False,False
158,BU04795160,4795160,Industriebuurt,Zaanstad,Buurt,BU04795160,3,275,160,120,25,35,75,95,50,140,105,15,10,225,30,15,225,10,10,15,10,,,,,125,35,45,40,"2,1",370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,195,125,,,65,,,,,,83,75,8,1521,5,4,945,False,False
159,BU04796110,4796110,Zuiderhoofdbuurt,Zaanstad,Buurt,BU04796110,3,1990,1005,995,220,215,515,580,465,1000,705,175,105,1585,180,225,1580,70,115,115,110,,,,,990,415,315,265,2,5068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,840,160,1,2541.0,130,,,,,,41,39,2,1561,1,2,2201,False,False
160,BU04796120,4796120,Noorderhoofdbuurt,Zaanstad,Buurt,BU04796120,3,2295,1145,1150,315,205,600,630,540,1190,705,260,135,1730,140,415,1735,55,210,90,205,,,,,1260,640,295,325,"1,8",5613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,870,165,"0,8",2531.0,100,,,,,,46,41,6,1561,1,2,2161,False,True
161,BU04796130,4796130,Snuiverbuurt,Zaanstad,Buurt,BU04796130,3,2675,1320,1355,475,265,675,675,590,1310,1010,225,130,2150,110,415,2150,55,220,55,200,,,,,1200,400,325,470,"2,2",6066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,980,165,1,2598.0,140,,,,,,44,44,0,1561,1,1,2511,False,True
162,BU04796140,4796140,Rosariumbuurt,Zaanstad,Buurt,BU04796140,3,1230,540,690,145,110,265,275,440,560,325,170,175,840,50,340,835,25,150,25,195,,,,,685,410,115,160,"1,7",3607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,415,50,"0,7",1365.0,40,,,,,,34,34,0,1561,1,2,2384,False,True
163,BU04796210,4796210,Zuiderham,Zaanstad,Buurt,BU04796210,3,3040,1430,1610,430,340,535,765,965,1265,1240,300,235,2345,175,515,2345,100,270,70,250,,,,,1410,495,430,480,"2,2",3977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355,1165,190,1,1773.0,85,,,,,,82,76,5,1562,1,2,2044,False,True
